Mol_ID,Gene_symbol
MOL000433,MAP4K3
MOL000433,FLRT3
MOL000433,USP38
MOL000433,AQP9
MOL000433,NBPF1
MOL000433,STIP1
MOL000433,CYP2D2
MOL000433,GABPB1
MOL000433,IPO4
MOL000433,IRX3
MOL000433,SLC20A1
MOL000433,ASS1
MOL000433,THUMPD3
MOL000433,MED17
MOL000433,C1ORF174
MOL000433,DYRK2
MOL000433,SYNJ1
MOL000433,CDKN2AIP
MOL000433,HTR5A
MOL000433,KYAT3
MOL000433,ZNF652
MOL000433,ATTC
MOL000433,TFB1M
MOL000433,TMTC4
MOL000433,RBP1
MOL000433,PWP2
MOL000433,FOS
MOL000433,HMGCL
MOL000433,LDB1
MOL000433,CXCL15
MOL000433,PCYT2
MOL000433,TMEFF1
MOL000433,SLC2A3
MOL000433,MYO6
MOL000433,ALOX12B
MOL000433,G2E3
MOL000433,DIPK1A
MOL000433,ZNF227
MOL000433,PDIK1L
MOL000433,TRPV1
MOL000433,RICTOR
MOL000433,DSC2L
MOL000433,HMGA2
MOL000433,AP1S2
MOL000433,SLC35E1
MOL000433,IRAG2
MOL000433,STARD10
MOL000433,RTN1
MOL000433,METTL16
MOL000433,PARVB
MOL000433,ZNF107
MOL000433,EPS15L1
MOL000433,CCDC138
MOL000433,OASL
MOL000433,GLS
MOL000433,C2ORF42
MOL000433,PRKACA
MOL000433,MYBL1
MOL000433,HIVEP1
MOL000433,ALDH1L2
MOL000433,DPP4
MOL000433,CPT2
MOL000433,CCDC92
MOL000433,PRMT3
MOL000433,MIR450A1
MOL000433,ADORA2B
MOL000433,RPL37A
MOL000433,MED12
MOL000433,MIR28
MOL000433,RPL35A
MOL000433,SUB1
MOL000433,LNX2
MOL000433,NLRP3
MOL000433,MICAL2
MOL000433,GALNT18
MOL000433,SAC3D1
MOL000433,HCN4
MOL000433,FBXO30
MOL000433,ACAP2
MOL000433,GBP5
MOL000433,ANKRD44
MOL000433,SGMS2
MOL000433,SLC46A1
MOL000433,GSTT1
MOL000433,ZNF267
MOL000433,TLL1
MOL000433,DCUN1D3
MOL000433,NDRG3
MOL000433,SPEN
MOL000433,MIR19A
MOL000433,NCR3LG1
MOL000433,CNKSR3
MOL000433,SAMTOR
MOL000433,IL1R1
MOL000433,INTS11
MOL000433,AKR1C2
MOL000433,MSH4
MOL000433,GNL3L
MOL000433,H2BC4
MOL000433,ABHD17B
MOL000433,SORD
MOL000433,MIR17
MOL000433,GSPT1
