Mol_ID,Gene_symbol,Description
MOL000392,CD274,CD274 molecule
MOL000392,PARL,presenilin associated rhomboid like
MOL000392,TJP1,tight junction protein 1
MOL000392,FBXW7,F-box and WD repeat domain containing 7
MOL000392,PRKN,parkin RBR E3 ubiquitin protein ligase
MOL000392,MSR1,macrophage scavenger receptor 1
MOL000392,SOD1,superoxide dismutase 1
MOL000392,FIS1,"fission, mitochondrial 1"
MOL000392,PHB2,prohibitin 2
MOL000392,AKT1,AKT serine/threonine kinase 1
MOL000392,CRMP1,collapsin response mediator protein 1
MOL000392,MYC,"MYC proto-oncogene, bHLH transcription factor"
MOL000392,SIRT1,sirtuin 1
MOL000392,BAX,"BCL2 associated X, apoptosis regulator"
MOL000392,STAT3,signal transducer and activator of transcription 3
MOL000392,MYOG,myogenin
MOL000392,GSK3B,glycogen synthase kinase 3 beta
MOL000392,PGAM5,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase"
MOL000392,IL5,interleukin 5
MOL000392,FOXO3,forkhead box O3
MOL000392,PINK1,PTEN induced kinase 1
MOL000392,IL13,interleukin 13
