	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPR183	-2.46219590965352	3.9808561245395	-19.5817831894529	2.75837338591072e-51	3.00224862018886e-49	106.105966467208
CD74	-2.45738174489345	7.06055352928808	-18.0203874464844	3.50799299052865e-46	2.18675526691409e-44	94.4028026827553
SULF2	-2.45419032192648	6.87015358365326	-10.2457203387126	1.32592027570847e-20	8.46539602470484e-20	35.8205426635458
GZMH	-2.45259295104159	6.69898213919243	-8.30077081577475	8.15186115197549e-15	3.51334455808271e-14	22.6265932931747
GPR18	-2.44914036795299	4.61593380056663	-17.8287528997949	1.50380587071319e-45	8.52198087229778e-44	92.9534140361169
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5	-2.43022400409106	8.45703499831122	-14.1706063221804	2.31944107451498e-33	3.98606702956121e-32	65.0132710014513
HLA-DMA	-2.42839247399075	6.15670014183626	-14.8260759521075	1.50252391711978e-35	3.09393588579289e-34	70.0286985581662
CLIC3	-2.42559264074249	3.47377306909917	-16.5827023598347	2.04444073680374e-41	7.37827901698065e-40	83.4763547985581
NLRC3	-2.41878324085715	5.0144288758921	-20.4658046164005	3.91719816527445e-54	6.55127507787485e-52	112.634163429673
FAM113B	-2.40654556426681	4.47802235037242	-17.2239069129836	1.51020956912833e-43	6.81283356283745e-42	88.3634919942796
LDHB	-2.39563172655277	8.1320319394481	-17.1517885362059	2.62024045793661e-43	1.14439419236123e-41	87.8148111066744
FGFBP2	-2.38194696634853	5.28807543233967	-11.9712576402048	4.23506465510636e-26	3.98351691907603e-25	48.3843593986662
HVCN1	-2.37559793242222	6.05833910547184	-16.5275114481089	3.12185647549548e-41	1.0921719312486e-39	83.0548672882297
GZMK	-2.35782579828141	4.76518120918138	-10.4179728391178	3.85642179430605e-21	2.54754183463936e-20	37.0454452732061
MYBL1	-2.34430659757369	3.4980209897259	-14.224158597715	1.53735349394743e-33	2.66202851212058e-32	65.4225371075615
ARL4C	-2.27509598971	5.12744848374565	-17.1438941848877	2.78319456973848e-43	1.20787121295549e-41	87.7547337916285
GZMM	-2.26105406811456	4.26549927787301	-16.5410376870578	2.81418671880615e-41	9.94684450044009e-40	83.1581764649045
