Mol_ID,Gene_symbol,Description
MOL000358,HSD17B13,hydroxysteroid 17-beta dehydrogenase 13
MOL000358,HSD11B1L,hydroxysteroid 11-beta dehydrogenase 1 like
MOL000358,C2orf81,chromosome 2 open reading frame 81
MOL005348,AR,androgen receptor
MOL005348,ESR1,estrogen receptor 1
MOL005348,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL005348,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL005348,NCOA2,nuclear receptor coactivator 2
MOL001942,ACHE,acetylcholinesterase (Cartwright blood group)
MOL001942,ALDH1A1,aldehyde dehydrogenase 1 family member A1
MOL001942,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1
MOL001942,CASP3,caspase 3
MOL001942,CASP8,caspase 8
MOL001942,CASP9,caspase 9
MOL001942,CYP1B1,cytochrome P450 family 1 subfamily B member 1
MOL001942,ESR1,estrogen receptor 1
MOL001942,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2
MOL001942,GSTA2,glutathione S-transferase alpha 2
MOL001942,HMOX1,heme oxygenase 1
MOL001942,LMNA,lamin A/C
MOL001942,MAOA,monoamine oxidase A
MOL001942,MAOB,monoamine oxidase B
MOL001942,NOS2,nitric oxide synthase 2
MOL001942,PTGS2,prostaglandin-endoperoxide synthase 2
MOL001942,PTH1R,parathyroid hormone 1 receptor
MOL001942,EHMT2,euchromatic histone lysine methyltransferase 2
MOL001942,POLI,DNA polymerase iota
MOL001942,TARDBP,TAR DNA binding protein
MOL001942,BACE1,beta-secretase 1
MOL001942,BAZ2B,bromodomain adjacent to zinc finger domain 2B
MOL002776,FTH1,ferritin heavy chain 1
MOL002776,NLRP3,NLR family pyrin domain containing 3
MOL002776,STAT3,signal transducer and activator of transcription 3
MOL002776,TBC1D4,TBC1 domain family member 4
MOL002776,EPHB2,EPH receptor B2
MOL002776,BNIP3L,BCL2 interacting protein 3 like
MOL002776,PPARGC1A,PPARG coactivator 1 alpha
MOL002776,STS,steroid sulfatase
MOL002776,CXCL10,C-X-C motif chemokine ligand 10
MOL002776,GALR2,galanin receptor 2
MOL002776,MAPK14,mitogen-activated protein kinase 14
MOL002776,NEUROD1,neuronal differentiation 1
MOL002776,CTNNB1,catenin beta 1
MOL002776,CYP7A1,cytochrome P450 family 7 subfamily A member 1
MOL002776,MIR205,microRNA 205
MOL002776,IL18,interleukin 18
MOL002776,SNCA,synuclein alpha
MOL002776,CCL3,C-C motif chemokine ligand 3
MOL002776,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL002776,VEGFA,vascular endothelial growth factor A
MOL002776,FN1,fibronectin 1
MOL002776,DCX,doublecortin
MOL002776,PCNA,proliferating cell nuclear antigen
MOL002776,MYD88,MYD88 innate immune signal transduction adaptor
MOL002776,NFKB1,nuclear factor kappa B subunit 1
MOL002776,CCL5,C-C motif chemokine ligand 5
MOL002776,CASP3,caspase 3
MOL002776,ZHX2,zinc fingers and homeoboxes 2
MOL002776,DEPP1,DEPP1 autophagy regulator
