Mol_ID,Gene_symbol,Description
MOL001439,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL001439,RXRA,retinoid X receptor alpha
MOL001439,RXRG,retinoid X receptor gamma
MOL001439,SELP,selectin P
MOL001439,SLC6A2,solute carrier family 6 member 2
MOL001439,TNFRSF1A,TNF receptor superfamily member 1A
MOL001439,TNFRSF1B,TNF receptor superfamily member 1B
MOL001439,UCP2,uncoupling protein 2
MOL001439,TRPV1,transient receptor potential cation channel subfamily V member 1
MOL001439,PTGES,prostaglandin E synthase
MOL001439,ABCG1,ATP binding cassette subfamily G member 1
MOL001439,ABCC4,ATP binding cassette subfamily C member 4
MOL001439,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
MOL001439,KCNK10,potassium two pore domain channel subfamily K member 10
MOL001439,RETN,resistin
MOL001439,PTGES2,prostaglandin E synthase 2
MOL007036,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007036,ADRA1D,adrenoceptor alpha 1D
MOL007036,ADRA1B,adrenoceptor alpha 1B
MOL007036,ADRA1A,adrenoceptor alpha 1A
MOL007036,ADRB2,adrenoceptor beta 2
MOL007036,AR,androgen receptor
MOL007036,CA2,carbonic anhydrase 2
MOL007036,CALM3,calmodulin 3
MOL007036,CCNA2,cyclin A2
MOL007036,CDK2,cyclin dependent kinase 2
MOL007036,CHEK1,checkpoint kinase 1
MOL007036,CHRM1,cholinergic receptor muscarinic 1
MOL007036,CHRM3,cholinergic receptor muscarinic 3
MOL007036,MAPK14,mitogen-activated protein kinase 14
MOL007036,DPP4,dipeptidyl peptidase 4
MOL007036,ESR1,estrogen receptor 1
MOL007036,ESR2,estrogen receptor 2
MOL007036,GSK3B,glycogen synthase kinase 3 beta
MOL007036,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007036,NOS2,nitric oxide synthase 2
MOL007036,OPRM1,opioid receptor mu 1
MOL007036,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007036,PRSS1,serine protease 1
MOL007036,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007036,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007036,RXRA,retinoid X receptor alpha
MOL007036,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007036,NCOA1,nuclear receptor coactivator 1
MOL007036,NCOA2,nuclear receptor coactivator 2
MOL007045,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007045,ADRB2,adrenoceptor beta 2
MOL007045,AR,androgen receptor
MOL007045,CCNA2,cyclin A2
MOL007045,CDK2,cyclin dependent kinase 2
MOL007045,CHRM1,cholinergic receptor muscarinic 1
MOL007045,CHRM5,cholinergic receptor muscarinic 5
MOL007045,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007045,DPP4,dipeptidyl peptidase 4
MOL007045,ESR1,estrogen receptor 1
MOL007045,ESR2,estrogen receptor 2
MOL007045,GSK3B,glycogen synthase kinase 3 beta
MOL007045,NOS2,nitric oxide synthase 2
MOL007045,OPRD1,opioid receptor delta 1
MOL007045,OPRM1,opioid receptor mu 1
MOL007045,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007045,PPARG,peroxisome proliferator activated receptor gamma
MOL007045,PRSS1,serine protease 1
MOL007045,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007045,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007045,NCOA1,nuclear receptor coactivator 1
MOL007048,CCNA2,cyclin A2
MOL007048,CDK2,cyclin dependent kinase 2
MOL007048,CHEK1,checkpoint kinase 1
MOL007048,MAPK14,mitogen-activated protein kinase 14
MOL007048,ESR1,estrogen receptor 1
MOL007048,ESR2,estrogen receptor 2
MOL007048,GSK3B,glycogen synthase kinase 3 beta
MOL007048,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007048,PPARG,peroxisome proliferator activated receptor gamma
MOL007048,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007063,AR,androgen receptor
MOL007063,ESR1,estrogen receptor 1
MOL007063,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL007063,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL007121,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007121,AR,androgen receptor
MOL007121,ESR1,estrogen receptor 1
MOL007122,MAPK3,mitogen-activated protein kinase 3
MOL007122,MAP2K7,mitogen-activated protein kinase kinase 7
MOL007122,CASP3,caspase 3
MOL007122,MAPK1,mitogen-activated protein kinase 1
MOL007125,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007125,ADRA1D,adrenoceptor alpha 1D
MOL007125,ADRA1B,adrenoceptor alpha 1B
MOL007125,ADRA1A,adrenoceptor alpha 1A
MOL007125,ADRB2,adrenoceptor beta 2
MOL007125,AR,androgen receptor
MOL007125,CA2,carbonic anhydrase 2
MOL007125,CDK2,cyclin dependent kinase 2
MOL007125,CHEK1,checkpoint kinase 1
MOL007125,CHRM1,cholinergic receptor muscarinic 1
MOL007125,CHRM2,cholinergic receptor muscarinic 2
MOL007125,CHRM3,cholinergic receptor muscarinic 3
MOL007125,CHRM4,cholinergic receptor muscarinic 4
MOL007125,CHRM5,cholinergic receptor muscarinic 5
MOL007125,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007125,DPP4,dipeptidyl peptidase 4
MOL007125,DRD1,dopamine receptor D1
MOL007125,ESR1,estrogen receptor 1
MOL007125,ESR2,estrogen receptor 2
MOL007125,GSK3B,glycogen synthase kinase 3 beta
MOL007125,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007125,NOS2,nitric oxide synthase 2
MOL007125,OPRD1,opioid receptor delta 1
MOL007125,OPRM1,opioid receptor mu 1
MOL007125,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007125,PRSS1,serine protease 1
MOL007125,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007125,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007125,RXRA,retinoid X receptor alpha
MOL007125,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007125,NCOA1,nuclear receptor coactivator 1
MOL007125,NCOA2,nuclear receptor coactivator 2
MOL008839,AR,androgen receptor
MOL008839,ESR1,estrogen receptor 1
MOL008839,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL008839,PGR,progesterone receptor
MOL008839,NCOA1,nuclear receptor coactivator 1
MOL008839,NCOA2,nuclear receptor coactivator 2
MOL008845,NLRP3,NLR family pyrin domain containing 3
MOL008845,CTNNB1,catenin beta 1
MOL008845,KDR,kinase insert domain receptor
MOL008845,MYC,"MYC proto-oncogene, bHLH transcription factor"
MOL008845,SLC27A5,solute carrier family 27 member 5
MOL008845,NR1H4,nuclear receptor subfamily 1 group H member 4
MOL008845,IDO1,"indoleamine 2,3-dioxygenase 1"
MOL008845,ITK,IL2 inducible T cell kinase
MOL008845,BAX,"BCL2 associated X, apoptosis regulator"
MOL008845,MMP10,matrix metallopeptidase 10
MOL008845,STAT3,signal transducer and activator of transcription 3
MOL008845,LGALS3,galectin 3
MOL008845,TLR2,toll like receptor 2
MOL008845,AREG,amphiregulin
MOL008845,GPBAR1,G protein-coupled bile acid receptor 1
MOL008845,KLF5,Kruppel like factor 5
MOL008845,COX2,cytochrome c oxidase subunit II
MOL008845,PTGER4,prostaglandin E receptor 4
MOL008846,ACHE,acetylcholinesterase (Cartwright blood group)
MOL008846,AR,androgen receptor
MOL008846,ESR1,estrogen receptor 1
MOL008846,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL008846,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL008846,PGR,progesterone receptor
MOL008846,RXRA,retinoid X receptor alpha
MOL008846,NCOA1,nuclear receptor coactivator 1
MOL008846,NCOA2,nuclear receptor coactivator 2
MOL006861,ERN1,endoplasmic reticulum to nucleus signaling 1
MOL006861,EP300,E1A binding protein p300
MOL006861,STAT3,signal transducer and activator of transcription 3
MOL006861,PCNA,proliferating cell nuclear antigen
MOL006861,IL1B,interleukin 1 beta
MOL006861,MYD88,MYD88 innate immune signal transduction adaptor
MOL006861,NFKB1,nuclear factor kappa B subunit 1
MOL006861,CASP3,caspase 3
MOL006861,CLDN5,claudin 5
MOL006861,LY96,lymphocyte antigen 96
MOL006861,NFATC1,nuclear factor of activated T cells 1
MOL006861,BCL2,BCL2 apoptosis regulator
MOL006861,TLR4,toll like receptor 4
MOL006861,IL4,interleukin 4
MOL006861,SCTR,secretin receptor
MOL006861,MAPK3,mitogen-activated protein kinase 3
MOL006861,GABPA,GA binding protein transcription factor subunit alpha
MOL006861,ABCB1,ATP binding cassette subfamily B member 1
MOL006861,PTGS2,prostaglandin-endoperoxide synthase 2
MOL006861,CD274,CD274 molecule
MOL006861,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
MOL006861,VEGFA,vascular endothelial growth factor A
MOL006861,TJP1,tight junction protein 1
MOL006861,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL006861,IL12RB1,interleukin 12 receptor subunit beta 1
MOL006861,MMP9,matrix metallopeptidase 9
MOL006861,BCL2L1,BCL2 like 1
MOL006861,PTK2,protein tyrosine kinase 2
MOL006861,HAVCR1,hepatitis A virus cellular receptor 1
MOL006861,MAPK14,mitogen-activated protein kinase 14
MOL006861,CYCS,"cytochrome c, somatic"
MOL006861,SMAD7,SMAD family member 7
MOL006861,AKT1,AKT serine/threonine kinase 1
MOL006861,CTNNB1,catenin beta 1
MOL006861,COL1A1,collagen type I alpha 1 chain
MOL006861,EPHB2,EPH receptor B2
MOL006861,KDR,kinase insert domain receptor
MOL006861,BAX,"BCL2 associated X, apoptosis regulator"
MOL006861,MAPK1,mitogen-activated protein kinase 1
MOL006861,MMP14,matrix metallopeptidase 14
MOL006861,COL11A2,collagen type XI alpha 2 chain
MOL006861,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL006861,ALB,albumin
MOL006861,IL5,interleukin 5
MOL006861,TNFRSF1A,TNF receptor superfamily member 1A
MOL006861,SMAD3,SMAD family member 3
MOL006861,FN1,fibronectin 1
MOL006861,IL13,interleukin 13
MOL006861,CXCL9,C-X-C motif chemokine ligand 9
MOL006861,IL6,interleukin 6
MOL006861,MMP15,matrix metallopeptidase 15
MOL006861,MAPK8,mitogen-activated protein kinase 8
MOL006861,MARVELD1,MARVEL domain containing 1
MOL006861,TNF,tumor necrosis factor
MOL006861,HSPA5,heat shock protein family A (Hsp70) member 5
MOL006861,TGFB1,transforming growth factor beta 1
MOL006861,CXCL8,C-X-C motif chemokine ligand 8
MOL006861,IL31,interleukin 31
MOL006865,AR,androgen receptor
MOL006865,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL003790,ACHE,acetylcholinesterase (Cartwright blood group)
MOL003790,AR,androgen receptor
MOL003790,CHRM1,cholinergic receptor muscarinic 1
MOL003790,CHRM2,cholinergic receptor muscarinic 2
MOL003790,DPP4,dipeptidyl peptidase 4
MOL003790,ESR1,estrogen receptor 1
MOL003790,NCOA2,nuclear receptor coactivator 2
MOL005409,ACAN,aggrecan
MOL005409,TP53,tumor protein p53
MOL005409,JAK1,Janus kinase 1
MOL005409,IL1B,interleukin 1 beta
MOL005409,IL6,interleukin 6
MOL005409,CYP21A2,cytochrome P450 family 21 subfamily A member 2
MOL005409,CASP3,caspase 3
MOL005409,STAT3,signal transducer and activator of transcription 3
MOL005409,TEP1,telomerase associated protein 1
MOL005531,AR,androgen receptor
MOL005531,ESR1,estrogen receptor 1
MOL005531,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL005531,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL009157,AR,androgen receptor
MOL009157,ESR1,estrogen receptor 1
MOL009157,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL009157,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL008400,APP,amyloid beta precursor protein
MOL008400,AR,androgen receptor
MOL008400,CA2,carbonic anhydrase 2
MOL008400,CALM3,calmodulin 3
MOL008400,CCNA2,cyclin A2
MOL008400,CDK2,cyclin dependent kinase 2
MOL008400,CHEK1,checkpoint kinase 1
MOL008400,MAPK14,mitogen-activated protein kinase 14
MOL008400,ESR1,estrogen receptor 1
MOL008400,ESR2,estrogen receptor 2
MOL008400,GSK3B,glycogen synthase kinase 3 beta
MOL008400,GUSB,glucuronidase beta
MOL008400,MMP8,matrix metallopeptidase 8
MOL008400,MMP13,matrix metallopeptidase 13
MOL008400,NOS2,nitric oxide synthase 2
MOL008400,PDE3A,phosphodiesterase 3A
MOL008400,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL008400,PPARG,peroxisome proliferator activated receptor gamma
MOL008400,PRSS1,serine protease 1
MOL008400,PTGS1,prostaglandin-endoperoxide synthase 1
MOL008400,PTGS2,prostaglandin-endoperoxide synthase 2
MOL008400,RXRA,retinoid X receptor alpha
MOL008400,XDH,xanthine dehydrogenase
MOL008400,NCOA1,nuclear receptor coactivator 1
MOL009807,ALB,albumin
MOL009807,AR,androgen receptor
MOL009807,ABCC2,ATP binding cassette subfamily C member 2
MOL009807,CYP3A4,cytochrome P450 family 3 subfamily A member 4
MOL009807,ERG,ETS transcription factor ERG
MOL009807,ESR1,estrogen receptor 1
MOL009807,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL009807,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL009807,PLA2G1B,phospholipase A2 group IB
MOL009807,UGT2B4,UDP glucuronosyltransferase family 2 member B4
MOL009807,VDR,vitamin D receptor
MOL009807,ABCB11,ATP binding cassette subfamily B member 11
MOL009807,NCOA1,nuclear receptor coactivator 1
MOL009807,NR1I2,nuclear receptor subfamily 1 group I member 2
MOL009807,NR1H4,nuclear receptor subfamily 1 group H member 4
MOL009807,NCOA2,nuclear receptor coactivator 2
MOL009807,SLCO1B1,solute carrier organic anion transporter family member 1B1
MOL009807,CBX1,chromobox 1
MOL009807,SLCO2B1,solute carrier organic anion transporter family member 2B1
MOL009807,SLCO1B3,solute carrier organic anion transporter family member 1B3
MOL009807,UGT1A6,UDP glucuronosyltransferase family 1 member A6
MOL009807,UGT1A9,UDP glucuronosyltransferase family 1 member A9
MOL009807,GPBAR1,G protein-coupled bile acid receptor 1
