Mol_ID,Gene_symbol
MOL004328,NFKB1
MOL004328,ITGB3
MOL004328,IL2
MOL004328,PKD2
MOL004328,MAPK1
MOL004328,NFE2L2
MOL004328,LDLR
MOL004328,MAP2K7
MOL004328,CNR1
MOL004328,SMAD3
MOL004328,TGM2
MOL004328,CYP19A1
MOL004328,CFTR
MOL004328,MTOR
MOL004328,IFNG
MOL004328,PPARA
MOL004328,TF
MOL004328,HSPA5
MOL004328,TNF
MOL004328,IL10
MOL004811,CNR1
MOL004811,CNR2
MOL004814,NFKB1
MOL004833,CNR1
MOL004833,CNR2
MOL004835,CBR1
MOL004835,PPARG
MOL004835,VDR
MOL004835,GSTP1
MOL004835,ABCC5
MOL004835,ABCC4
MOL004835,ABCB6
MOL004835,AKR1C3
MOL004835,APOA2
MOL004848,GSTP1
MOL004848,ABCC5
MOL004848,PPARG
MOL004848,CBR1
MOL004848,VDR
MOL004848,APOA2
MOL004848,ABCB6
MOL004848,ABCC4
MOL004848,AKR1C3
MOL004882,CNR2
MOL004882,CNR1
MOL004891,CNR2
MOL004891,CNR1
MOL004903,AKR1C1
MOL004903,AURKB
MOL004905,NR3C2
MOL004908,MIR7-3HG
MOL004908,MAPK8
MOL004908,JUN
MOL004908,MMP9
MOL004908,MAPK9
MOL004908,FOS
MOL004908,CNR1
MOL004908,TTR
MOL004908,JUND
MOL004908,JUNB
MOL004908,ACE2
MOL004908,VTN
MOL004908,MAPK3
MOL004908,NFKB1
MOL004908,CNR2
MOL004908,MAPK1
MOL004911,CNR1
MOL004911,CNR2
MOL004941,CNR2
MOL004941,CNR1
MOL004945,SLC22A12
MOL004959,CNR1
MOL004959,CNR2
MOL004974,CNR1
MOL004974,CNR2
MOL004978,CNR1
MOL004978,CNR2
MOL004985,PTGS1
MOL004985,RARB
MOL004985,FABP7
MOL004985,CKMT2
MOL004985,PPARD
MOL004985,FTH1
MOL004985,ALDH1A2
MOL004985,MAX
MOL004985,PSG5
MOL004985,MYC
MOL004985,CYP26C1
MOL004985,SLC8A3
MOL004985,RXRG
MOL004985,FN3K
MOL004985,SP1
MOL004985,ALDH1A1
MOL004985,PMP2
MOL004985,TRPV1
MOL004985,ACSL4
MOL004985,SC5D
MOL004985,TF
MOL004985,NFS1
MOL004985,FADS2
MOL004985,TFR2
MOL004985,CKMT1B
MOL004985,NEIL2
MOL004985,GAMT
MOL004985,PARK7
MOL004985,EGLN1
MOL004985,APOA2
MOL004985,ALOX15B
MOL004985,RXRA
MOL004985,GPRC5A
MOL004985,PTGS2
MOL004985,HBA1
MOL004985,GATM
MOL004985,RXRB
MOL004985,NEIL1
MOL004985,CKM
MOL004985,IGFBP3
MOL004985,FTL
MOL004985,PPARG
MOL004985,THRB
MOL004985,RARRES1
MOL004985,PPARA
MOL004985,POLB
MOL004985,SREBF1
MOL004985,CYP3A7
MOL004985,TBX1
MOL004985,FEN1
MOL004985,F12
MOL004985,SLC6A4
MOL004985,SLC8A1
MOL004985,LCN1
MOL004985,AHSP
MOL004985,OPRL1
MOL004985,ALOX12
MOL004985,ALOX5
MOL004985,CYP26B1
MOL004985,PPP2R4
MOL004985,OSR1
MOL004985,RBP4
MOL004985,CP
MOL004985,TFRC
MOL004985,OBP2A
MOL004985,LCN2
MOL004985,HPGDS
MOL004985,CKMT1A
MOL004985,NR1H4
MOL004985,ALPL
MOL004985,SLC8A2
MOL004985,PDK4
MOL004985,YY1
MOL004985,RARA
MOL004985,LYRM4
MOL004985,ELOVL5
MOL004985,FXN
MOL004985,CKB
MOL004985,SLC6A8
MOL004985,RARG
MOL004985,HDAC8
MOL004985,ELOVL2
MOL004985,FFAR1
MOL004985,HBA2
MOL004985,ALDH9A1
MOL004985,CYP26A1
MOL004985,FADS1
MOL004985,ALOX5AP
MOL004988,CNR2
MOL004988,CNR1
MOL004996,SLC6A8
MOL004996,ALDH1A1
MOL004996,ALDH1A2
MOL004996,SLC6A4
MOL004996,GPRC5A
MOL004996,SC5D
MOL004996,PPARG
MOL004996,PPARA
MOL004996,PARK7
MOL004996,SP1
MOL004996,ALDH9A1
MOL004996,CKB
MOL004996,ELOVL5
MOL004996,CYP26C1
MOL004996,CKMT1A
MOL004996,HBA2
MOL004996,LCN1
MOL004996,SLC8A1
MOL004996,ALOX15B
MOL004996,PSG5
MOL004996,TBX1
MOL004996,HPGDS
MOL004996,RBP4
MOL004996,CYP26A1
MOL004996,LCN2
MOL004996,POLB
MOL004996,NEIL2
MOL004996,ALOX12
MOL004996,NEIL1
MOL004996,OBP2A
MOL004996,OSR1
MOL004996,CKMT1B
MOL004996,FABP7
MOL004996,MYC
MOL004996,RARA
MOL004996,FEN1
MOL004996,PPP2R4
MOL004996,IGFBP3
MOL004996,ALOX5
MOL004996,CKMT2
MOL004996,SREBF1
MOL004996,PTGS1
MOL004996,RARG
MOL004996,CP
MOL004996,FN3K
MOL004996,PTGS2
MOL004996,RARRES1
MOL004996,RARB
MOL004996,NR1H4
MOL004996,FFAR1
MOL004996,APOA2
MOL004996,NFS1
MOL004996,FTL
MOL004996,SLC8A3
MOL004996,RXRG
MOL004996,ALOX5AP
MOL004996,ELOVL2
MOL004996,AHSP
MOL004996,CKM
MOL004996,TF
MOL004996,THRB
MOL004996,FADS2
MOL004996,YY1
MOL004996,RXRA
MOL004996,TFR2
MOL004996,ALPL
MOL004996,CYP26B1
