Mol_ID,Gene_symbol
MOL004841,MIR1291
MOL004841,MIR1303
MOL004841,MIR143
MOL004841,MIR146A
MOL004841,MIR148A
MOL004841,MIR16-1
MOL004841,MIR181A1
MOL004841,MIR181B1
MOL004841,MIR191
MOL004841,MIR193A
MOL004841,MIR19A
MOL004841,MIR200A
MOL004841,MIR206
MOL004841,MIR210
MOL004841,MIR219A2
MOL004841,MIR222
MOL004841,MIR23B
MOL004841,MIR25
MOL004841,MIR26A2
MOL004841,MIR27A
MOL004841,IL1A
MOL004841,IL1B
MOL004841,IL1R1
MOL004841,IL2RB
MOL004841,IL6
MOL004841,INAFM1
MOL004841,INHBE
MOL004841,INKA1
MOL004841,MIR335
MOL004841,MIR33A
MOL004841,MIR33B
MOL004841,MIR3609
MOL004841,MIR3651
MOL004841,MIR365A
MOL004841,MIR374B
MOL004841,MIR378G
MOL004841,MIR3960
MOL004841,MIR424
MOL004841,MIR4286
MOL004841,ZNF831
MOL004841,ZNF853
MOL004841,ZNF860
MOL004841,ZNF8-ERVK3-1
MOL004841,ZNF92
MOL004841,CELF5
MOL004841,CENPE
MOL004841,CFAP141
MOL004841,CFAP184
MOL004841,CFAP20
MOL004882,DYRK1A
MOL004882,MET
MOL004884,CYP2B6
MOL004884,CYP2C8
MOL004884,CYP2C9
MOL004904,CYP1A1
MOL004903,MPO
MOL004903,TXNRD2
MOL004903,MMP9
MOL004903,TXN2
MOL004903,ABCB11
MOL004903,NR1H4
MOL004903,NFE2L2
MOL004903,KEAP1
MOL004903,IL6
MOL004903,NQO1
MOL004903,RELA
MOL004903,SIRT1
MOL004903,NOS2
MOL004903,GPT
MOL004903,ABCC2
MOL004903,ABCC3
MOL004903,GCLM
MOL004903,TNF
MOL004903,CYP2E1
MOL004903,GCLC
MOL004903,IL1B
MOL004903,ABCC4
MOL004903,ADRB2
MOL004903,CCL2
MOL004903,SQSTM1
MOL004903,TLR4
MOL004903,HSPD1
MOL004903,SLC10A1
MOL004903,GSR
MOL004903,HMOX1
MOL003656,BCL2
MOL003656,BID
MOL003656,CASP3
MOL003656,CASP7
MOL003656,PARP1
MOL003656,AKT1
MOL003656,ENDOG
MOL003656,MTOR
MOL003656,AIFM1
MOL003656,CASP8
MOL003656,BAX
MOL003656,CASP9
MOL004328,TRPM3
MOL004328,AHR
MOL004328,UGT1A8
MOL004328,UGT1A10
MOL004328,UGT1A7
MOL004328,VEGFA
MOL004328,WT1
MOL004328,XDH
MOL004328,XRCC5
MOL004328,TSC1
MOL004328,UCP1
MOL004328,UGT1A1
MOL004328,TNF
MOL004328,TNFRSF10B
MOL004328,TNFRSF10D
MOL004328,UGT1A9
MOL004328,UGT2B15
MOL004328,VCAM1
MOL004328,TP63
MOL004328,TP73
MOL004328,TPO
MOL004328,TRAF2
MOL004328,ACHE
MOL004328,ACTA2
MOL004328,ADGRB1
MOL004328,AFP
MOL004328,MSH2
MOL004328,AKR1C1
MOL004328,TP53
MOL004328,TP53AIP1
MOL004328,TP53BP2
MOL004328,ALPL
MOL004328,APAF1
MOL004328,APP
MOL004328,AQP1
MOL004328,AQP5
MOL004328,ARHGDIA
MOL004328,ARNT
MOL004328,ATM
MOL004328,ATR
MOL004328,BACE1
MOL004328,AKR1C3
MOL004328,AKT1
MOL004328,ALB
MOL004328,CYP2C9
MOL004328,CYP2E1
MOL004328,CYP3A4
MOL004328,DHRS12
MOL004328,DNMT1
MOL004328,DRD2
MOL004328,E2F1
MOL004328,E2F3
MOL004328,EGFR
MOL004328,EGR1
MOL004328,ESR1
MOL004328,ESR2
MOL004328,FADD
MOL004328,FAS
MOL004328,FASLG
MOL004328,FOS
MOL004328,FOXO3
MOL004328,G6PD
MOL004328,GADD45A
MOL004328,GCLC
MOL004328,GCLM
MOL004328,GML
MOL004328,GPER1
MOL004328,GPT
MOL004328,GPX1
MOL004328,GPX2
MOL004328,GPX3
MOL004328,GPX5
MOL004328,GPX7
MOL004328,GSR
MOL004328,GSTZ1
MOL004328,HAVCR1
MOL004328,HK2
MOL004328,HMOX1
MOL004328,IGF1R
MOL004328,IKBKB
MOL004328,IL1B
MOL004328,IL6
MOL004328,INS1
MOL004328,ITGA4
MOL004328,JUN
MOL004328,KAT2B
MOL004328,KCNH2
MOL004328,KDR
MOL004328,KRAS
MOL004328,LHB
MOL004328,LPO
MOL004328,LRRC27
MOL004328,LRRK2
MOL004328,MAP3K5
MOL004328,MAPK1
MOL004328,MAPK3
MOL004328,MAPK8
MOL004328,MAPK9
MOL004328,ABCB1
MOL004328,ABCC1
MOL004328,ABCC4
MOL004328,ABCC5
MOL004328,ACAT1
MOL004328,MIR200C
MOL004328,MLH1
MOL004328,MMP2
MOL004328,MMP9
MOL004328,CDK1
MOL004328,MTOR
MOL004328,MYOD1
MOL004328,NANOG
MOL004328,NF1
MOL004328,NFE2L2
MOL004328,NFKB1
MOL004328,NFKBIA
MOL004328,NFKBIL1
MOL004328,NME1
MOL004328,NOS2
MOL004328,NQO1
MOL004328,NR1I2
MOL004328,PARP1
MOL004328,PCNA
MOL004328,BAK1
MOL004328,BAX
MOL004328,BBC3
MOL004328,BCHE
