Mol_ID,Gene_symbol
MOL007115,CNR2
MOL007115,HCRTR2
MOL007115,MDM2
MOL007115,HCRTR1
MOL007115,SLC6A2
MOL007115,KCNK3
MOL007115,KCNK9
MOL007115,CHRM1
MOL007115,MAPK8
MOL007115,HSD11B1
MOL007141,AKR1B1
MOL007141,PIM1
MOL007141,CSNK2A1
MOL007141,SELL
MOL007141,SELE
MOL007141,SELP
MOL007141,EGFR
MOL007141,NOX4
MOL007141,CAMKK2
MOL007141,PARP1
MOL007141,KDM4C
MOL007141,FYN
MOL007141,TTR
MOL007141,MMP1
MOL007141,CHEK1
MOL007141,LCK
MOL007141,MMP9
MOL007141,MMP2
MOL007141,MMP8
MOL007141,AMPD3
MOL007141,GRK6
MOL007141,VCP
MOL007141,THRA
MOL007141,KDM3A
MOL007141,THRB
MOL007141,PYGL
MOL007141,PYGM
MOL007141,MKNK2
MOL007141,PTGDR2
MOL007141,ITGAV
MOL007141,ITGA2B
MOL007141,ITGB5
MOL007141,CASP3
MOL007141,MME
MOL007141,NEU3
MOL007141,AMPD2
MOL007142,AKR1B1
MOL007142,PTGS2
MOL007142,MMP9
MOL007142,MMP1
MOL007142,MMP2
MOL007142,MMP12
MOL007142,MMP3
MOL007142,CA7
MOL007142,CA12
MOL007142,CA4
MOL007142,MMP13
MOL007142,ABCB1
MOL007142,PTGES
MOL007142,ABCC1
MOL007142,ABCG2
MOL007142,FYN
MOL007142,TTR
MOL007142,CNR1
MOL007142,CNR2
MOL007142,APP
MOL007142,F3
MOL007142,F7
MOL007142,TMPRSS15
MOL007142,PRSS1
MOL007145,HDAC4
MOL007145,DUSP3
MOL007145,EPHX2
MOL007145,TUBB1
MOL007145,ESR1
MOL007145,ESR2
MOL007145,HDAC2
MOL007145,HDAC8
MOL007145,EPHX1
MOL007145,RET
MOL007145,CA7
MOL007145,CA14
MOL007145,GSTP1
MOL007145,AKT1
MOL007145,GSTM2
MOL007145,PRKD1
MOL007145,ALOX15
MOL007145,ALOX12
MOL007145,CA12
MOL007145,SCN9A
MOL007145,AKR1B10
MOL007145,UQCRB
MOL007140,MMP1
MOL007140,CA6
MOL007140,CA5B
MOL007140,PTGS2
MOL007140,CA2
MOL007140,CA1
MOL007140,MMP9
MOL007140,MMP2
MOL007140,AKR1B1
MOL007140,CA12
MOL007140,CA9
MOL007140,PTPN1
MOL007140,ALOX5
MOL007140,CA14
MOL007140,SELE
MOL007140,CA7
MOL007140,IGFBP5
MOL007140,IGFBP3
MOL007140,SELL
MOL007140,SELP
MOL007140,PIM1
MOL007140,CA3
MOL007140,PADI1
MOL007140,PADI4
MOL007140,NOX4
MOL007140,CAMKK2
MOL007140,CA5A
MOL007140,TYR
MOL007140,PTGER3
MOL002651,PTPN6
MOL002651,CES2
MOL002651,PTPN11
MOL002651,EED
MOL002651,CDC25B
MOL002651,P2RX7
MOL002651,PTPRC
MOL002651,AR
MOL002651,NQO2
MOL002651,RBBP4
MOL002651,MAPK14
MOL002651,HSD11B1
MOL002651,MTNR1A
MOL002651,MTNR1B
MOL002651,CYP19A1
MOL002651,AKR1B1
MOL002651,CES1
MOL002651,TERT
MOL002651,PDE4B
MOL002651,PDE7A
MOL002651,BRD4
MOL002651,BRD2
MOL002651,BRD3
MOL002651,SLC6A3
MOL002651,PTGES
MOL002651,PABPC1
MOL002651,TNKS2
MOL002651,PTGER2
MOL002651,EPHX1
MOL002651,BCHE
MOL002651,ACHE
MOL002651,PDE10A
MOL002651,PDE5A
MOL002651,CDC25C
MOL002651,BRS3
MOL002651,HCRTR2
MOL002651,HCRTR1
MOL002651,ESR2
MOL002651,EGFR
MOL002651,ADORA1
MOL002651,ADORA2A
MOL002651,KDR
MOL002651,ADORA2B
MOL002651,IDH1
MOL002651,BDKRB2
MOL002651,IGF1R
MOL002651,IMPDH2
MOL002651,ADRA1A
MOL002651,CACNA1C
MOL002651,PGR
MOL002651,ADORA3
MOL002651,PARP1
MOL002651,EIF4H
MOL002651,ESR1
MOL002651,TLR9
MOL007041,ACHE
MOL007041,CES1
MOL007041,CES2
MOL007041,CDC25A
MOL007041,CDC25B
MOL007041,PTPN1
MOL007041,PTPN22
MOL007041,PTPRC
MOL007041,TOP1
MOL007041,IDO1
MOL007041,BCHE
MOL007041,PTPRF
MOL007041,MAOB
MOL007041,PTPN6
MOL007041,PTPN11
MOL007041,AKR1B1
MOL007041,ADAM17
MOL007041,GABRB3
MOL007041,PHOSPHO1
MOL007041,MAOA
MOL007041,HRH3
MOL007041,KDR
MOL007041,TNKS2
MOL007041,GABRA2
MOL007041,FLT3
MOL007041,FLT1
MOL007041,ADORA1
MOL007041,ADORA3
MOL007041,TNKS
MOL007041,PARP2
MOL007041,EGFR
MOL007041,CASP3
MOL007041,ADORA2A
MOL007041,CASP7
MOL007041,NTRK1
MOL007041,MAPK8
MOL007041,GPR39
MOL007041,PIK3CB
MOL007041,PIK3CA
MOL007041,CCNE1
MOL007041,RET
MOL007041,HSD11B1
MOL007041,GABRA1
MOL007041,GABRG2
MOL007041,GABRA5
MOL007041,TSPO
MOL007041,HTR2B
MOL007041,HTR3A
MOL007041,GRM5
MOL007041,GCK
MOL007041,DUSP1
MOL007041,CHRM4
MOL007041,CDK5R1
MOL007041,CHRM5
MOL007041,CHRM2
MOL007041,CHRM1
MOL007041,CHRM3
MOL007041,GRM1
MOL007041,CLK4
MOL007041,TGM2
MOL007041,ERBB2
MOL007041,HTR1A
MOL007041,HTR2C
MOL007041,PFKFB3
MOL007041,CXCR2
MOL007041,HTR7
MOL007041,HTR5A
MOL007041,CCNC
MOL007041,ICAM1
MOL007041,VCAM1
MOL007041,SELE
MOL007154,AKR1B1
MOL007154,CES1
MOL007154,TERT
MOL007154,PTPN6
MOL007154,CES2
MOL007154,PTPN11
MOL007154,EED
MOL007154,RBBP4
MOL007154,CDC25C
MOL007154,MPI
MOL007154,CDC25A
MOL007154,PTPRC
MOL007154,CDC25B
MOL007154,ALOX5
MOL007154,HTR6
MOL007154,PDE10A
MOL007154,AR
MOL007154,CYP19A1
MOL007154,P2RX7
MOL007154,MTNR1A
MOL007154,MTNR1B
MOL007154,BRS3
MOL007154,GRM5
MOL007154,SLC6A3
MOL007154,NR4A1
MOL007154,TSPO
MOL007154,HCRTR2
MOL007154,HCRTR1
MOL007154,PGR
MOL007154,MGLL
MOL007154,MAP3K8
MOL007154,AURKB
MOL007154,MAPKAPK2
MOL007154,CSNK1G1
MOL007154,HRH3
MOL007154,CTSS
MOL007154,BRD4
MOL007154,BRD2
MOL007154,BRD3
MOL007154,PDE5A
MOL007154,KCNA5
MOL007154,FAAH
MOL007154,HSD11B1
MOL000569,POLA1
MOL000569,POLB
MOL000569,SERPINE1
MOL000569,TUBB1
MOL000569,CA7
MOL000569,CA3
MOL000569,CA6
MOL000569,CA5A
MOL000569,MAOA
MOL000569,MAOB
MOL000569,CA2
MOL000569,CA1
MOL000569,FUT7
MOL000569,CA12
MOL000569,CA14
MOL000569,CA9
MOL000569,CSNK2A1
MOL000569,CSNK2A2
MOL007111,EED
MOL007111,PTPN6
MOL007111,CES2
