"Mol_ID","Gene_symbol","Data_base"
"MOL004841","IGSF11","CTD"
"MOL004841","IL17REL","CTD"
"MOL004841","CCNB1","CTD"
"MOL004841","CCNE1","CTD"
"MOL004841","CCNP","CTD"
"MOL004841","CD14","CTD"
"MOL004841","CD247","CTD"
"MOL004841","CD27","CTD"
"MOL004841","CD4","CTD"
"MOL004841","CD79A","CTD"
"MOL004841","INSM2","CTD"
"MOL004841","IRF7","CTD"
"MOL004841","IRGC","CTD"
"MOL004841","JMJD6","CTD"
"MOL004841","JPH4","CTD"
"MOL004841","JUN","CTD"
"MOL004841","JUNB","CTD"
"MOL004841","JUND","CTD"
"MOL004841","KANK3","CTD"
"MOL004841","KBTBD8","CTD"
"MOL004841","KCNB1","CTD"
"MOL004841","KCNG2","CTD"
"MOL004841","KCNH5","CTD"
"MOL004841","KCNK3","CTD"
"MOL004841","KCNK4","CTD"
"MOL004841","KCTD5","CTD"
"MOL004841","KDF1","CTD"
"MOL004841","KIAA0825","CTD"
"MOL004841","KIF5A","CTD"
"MOL004841","KIRREL2","CTD"
"MOL004841","KLF2","CTD"
"MOL004841","KLF4","CTD"
"MOL004841","KLHL13","CTD"
"MOL004841","KLHL21","CTD"
"MOL004841","KLHL25","CTD"
"MOL004841","KNDC1","CTD"
"MOL004841","KRBA2","CTD"
"MOL004841","KRT16","CTD"
"MOL004841","LAG3","CTD"
"MOL004841","LDLRAD2","CTD"
"MOL004841","LDLRAD4","CTD"
"MOL004841","LENG1","CTD"
"MOL004841","LGALS4","CTD"
"MOL004841","LGI4","CTD"
"MOL004841","LGSN","CTD"
"MOL004841","LHB","CTD"
"MOL004841","LINC03040","CTD"
"MOL004841","LNX1","CTD"
"MOL004841","LRFN1","CTD"
"MOL004841","LRGUK","CTD"
"MOL004841","LRRC15","CTD"
"MOL004841","LRRC43","CTD"
"MOL004841","LRRC8A","CTD"
"MOL004841","LRRIQ3","CTD"
"MOL004841","LRRN4","CTD"
"MOL004841","LSMEM1","CTD"
"MOL004841","LTBP1","CTD"
"MOL004841","LY6G6C","CTD"
"MOL004841","MAFA","CTD"
"MOL004841","MAFB","CTD"
"MOL004841","MAFF","CTD"
"MOL004841","MAGEB3","CTD"
"MOL004841","MAML2","CTD"
"MOL004841","ATG9B","CTD"
"MOL004841","ATM","CTD"
"MOL004841","H2AC21","CTD"
"MOL004841","H2AC8","CTD"
"MOL004841","H2AX","CTD"
"MOL004841","RGS16","CTD"
"MOL004841","RGS9BP","CTD"
"MOL004841","MAPK1","CTD"
"MOL004841","MAPK3","CTD"
"MOL004841","MAPK8","CTD"
"MOL004841","MAPK8IP1","CTD"
"MOL004841","NEURL1B","CTD"
"MOL004841","MARCHF1","CTD"
"MOL004841","MARCKSL1","CTD"
"MOL004841","MARCOL","CTD"
"MOL004841","MASP1","CTD"
"MOL004841","MC5R","CTD"
"MOL004841","MCOLN1","CTD"
"MOL004841","MDFI","CTD"
"MOL004841","MDGA1","CTD"
"MOL004841","MEIS1","CTD"
"MOL004841","MEOX1","CTD"
"MOL004841","METRNL","CTD"
"MOL004841","MEX3A","CTD"
"MOL004841","MEX3B","CTD"
"MOL004841","MEX3D","CTD"
"MOL004841","H4C9","CTD"
"MOL004841","HAMP","CTD"
"MOL004841","HAPLN2","CTD"
"MOL004841","HAPLN3","CTD"
"MOL004841","MIR1248","CTD"
"MOL004841","MIR125B1","CTD"
"MOL004841","MIR126","CTD"
"MOL004841","MIR1260A","CTD"
"MOL004841","MIR1260B","CTD"
"MOL004841","MIR1268A","CTD"
"MOL004841","MIR1268B","CTD"
"MOL004841","MIR127","CTD"
"MOL004841","MIR1277","CTD"
"MOL004841","MIR1290","CTD"
"MOL004841","MIR1291","CTD"
"MOL004841","MIR1303","CTD"
"MOL004841","MIR143","CTD"
"MOL004841","MIR146A","CTD"
"MOL004841","MIR148A","CTD"
"MOL004841","MIR16-1","CTD"
"MOL004841","MIR181A1","CTD"
"MOL004841","MIR181B1","CTD"
"MOL004841","MIR191","CTD"
"MOL004841","MIR193A","CTD"
"MOL004841","MIR19A","CTD"
"MOL004841","MIR200A","CTD"
"MOL004841","MIR206","CTD"
"MOL004841","MIR210","CTD"
"MOL004841","MIR219A2","CTD"
"MOL004841","MIR222","CTD"
"MOL004841","MIR23B","CTD"
"MOL004841","MIR25","CTD"
"MOL004841","MIR26A2","CTD"
"MOL004841","MIR27A","CTD"
"MOL004841","IL1A","CTD"
"MOL004841","IL1B","CTD"
"MOL004841","IL1R1","CTD"
"MOL004841","IL2RB","CTD"
"MOL004841","IL6","CTD"
"MOL004841","INAFM1","CTD"
"MOL004841","INHBE","CTD"
"MOL004841","INKA1","CTD"
"MOL004841","MIR335","CTD"
"MOL004841","MIR33A","CTD"
"MOL004841","MIR33B","CTD"
"MOL004841","MIR3609","CTD"
"MOL004841","MIR3651","CTD"
"MOL004841","MIR365A","CTD"
"MOL004841","MIR374B","CTD"
"MOL004841","MIR378G","CTD"
"MOL004841","MIR3960","CTD"
"MOL004841","MIR424","CTD"
"MOL004841","MIR4286","CTD"
"MOL004841","ZNF831","CTD"
"MOL004841","ZNF853","CTD"
"MOL004841","ZNF860","CTD"
"MOL004841","ZNF8-ERVK3-1","CTD"
"MOL004841","ZNF92","CTD"
"MOL004841","CELF5","CTD"
"MOL004841","CENPE","CTD"
"MOL004841","CFAP141","CTD"
"MOL004841","CFAP184","CTD"
"MOL004841","CFAP20","CTD"
"MOL004882","DYRK1A","CTD"
"MOL004882","MET","CTD"
"MOL004884","CYP2B6","CTD"
"MOL004884","CYP2C8","CTD"
"MOL004884","CYP2C9","CTD"
"MOL004904","CYP1A1","CTD"
"MOL004903","MPO","CTD"
"MOL004903","TXNRD2","CTD"
"MOL004903","MMP9","CTD"
"MOL004903","TXN2","CTD"
"MOL004903","ABCB11","CTD"
"MOL004903","NR1H4","CTD"
"MOL004903","NFE2L2","CTD"
"MOL004903","KEAP1","CTD"
"MOL004903","IL6","CTD"
"MOL004903","NQO1","CTD"
"MOL004903","RELA","CTD"
"MOL004903","SIRT1","CTD"
"MOL004903","NOS2","CTD"
